주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
286-2-000090,금성동 공영주차장,공영,노외,,충청남도 공주시 금성동 201-1,20,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.46156005,127.1232692,2021-10-22,4500000,충청남도 공주시
150-4-000151,대명유료주차장,민영,노외,대구광역시 중구 동덕로 103,대구광역시 중구 삼덕동2가 205,18,1,미시행,평일+토요일,9:00,18:00,9:00,18:00,0:00,0:00,유료,60,1500,60,1500,,,,현금,,대명유료주차장,053-123-4567,35.864078,128.602684,2022-06-10,3410000,대구광역시 중구
150-4-000152,영광유료주차장,민영,노외,,대구광역시 중구 도원동 3-2,30,1,미시행,평일+토요일,8:00,19:00,8:00,19:00,0:00,0:00,유료,30,1000,,,,,,현금,1시간 1500원,영광유료주차장,053-123-4567,35.87632508,128.5841562,2022-06-10,3410000,대구광역시 중구
150-4-000153,대보유료주차장,민영,노외,,대구광역시 중구 포정동 17-1,50,1,미시행,평일+토요일,9:00,21:00,9:00,21:00,0:00,0:00,유료,60,1000,60,1000,,,,현금,,대보유료주차장,053-254-5498,35.87262622,128.5936265,2022-06-10,3410000,대구광역시 중구
150-4-000154,매일유료주차장,민영,노외,대구광역시 중구 삼덕동1가 공평로 19,대구광역시 중구 삼덕동1가 55-46,45,1,미시행,평일+토요일,8:30,2:00,8:30,2:00,0:00,0:00,유료,30,1000,,,,,,현금,,매일유료주차장,053-425-8650,35.86571284,128.5996374,2022-06-10,3410000,대구광역시 중구
150-4-000155,봉산유료주차장,민영,노외,대구광역시 중구 봉산문화길 44,대구광역시 중구 봉산동 223-25,13,1,미시행,평일+토요일,11:00,18:00,11:00,18:00,0:00,0:00,유료,30,1000,,,,,,현금,1시간 1500원,봉산유료주차장,053-123-4567,35.862147,128.5978065,2022-06-10,3410000,대구광역시 중구
150-4-000156,세화유료주차장,민영,노외,,대구광역시 중구 남성로 69,12,1,미시행,평일+토요일,8:30,20:30,8:30,20:30,0:00,0:00,유료,30,1000,,,,,,현금,,세화유료주차장,053-254-5428,35.86759323,128.5910095,2022-06-10,3410000,대구광역시 중구
150-4-000157,대연유료주차장,민영,노외,대구광역시 중구 교동3길 23,대구광역시 중구 교동 70-3,30,1,미시행,평일+토요일,8:00,21:00,8:00,21:00,0:00,0:00,유료,30,1000,30,1000,,,,현금,,대연유료주차장,053-424-8111,35.87309287,128.5988715,2022-06-10,3410000,대구광역시 중구
150-4-000158,중앙유료주차장,민영,노외,대구광역시 중구 국채보상로139길 39-5,대구광역시 중구 동인동1가 318-1,20,1,미시행,평일+토요일,9:00,18:00,9:00,18:00,0:00,0:00,유료,30,1000,15,500,,,,현금,,중앙유료주차장,053-424-2008,35.870833,128.6058385,2022-06-10,3410000,대구광역시 중구
150-4-000159,계산유료주차장,민영,노외,대구광역시 중구 국채보상로 504(계산동1가),대구광역시 중구 계산동1가 8-1,16,1,미시행,평일+토요일,9:00,20:00,9:00,20:00,0:00,0:00,유료,30,1000,30,1000,,,,현금,,계산유료주차장,053-123-4567,35.8701837,128.5857676,2022-06-10,3410000,대구광역시 중구
150-4-000098,동화유료주차장,민영,노외,,대구광역시 중구 동인동3가 264,93,1,미시행,평일+토요일,7:00,19:00,7:00,19:00,0:00,0:00,유료,30,1000,10,1000,,,,현금,1시간 2000원,동화유료주차장,053-426-1303,35.87160169,128.6063792,2022-06-10,3410000,대구광역시 중구
150-4-000099,경북유료주차장,민영,노외,대구광역시 중구 서성로13길 31,대구광역시 중구 인교동 197-2,30,1,미시행,평일+토요일,9:00,19:00,9:00,19:00,0:00,0:00,유료,30,1000,30,1000,,,,현금,,경북유료주차장,053-254-5775,35.87206485,128.5856301,2022-06-10,3410000,대구광역시 중구
150-4-000100,명성유료주차장,민영,노외,대구광역시 중구 동성로4길 60,대구광역시 중구 삼덕동1가 61-1,12,1,미시행,평일+토요일+공휴일,6:00,23:59,6:00,23:59,0:00,23:59,유료,30,1500,,,,,,현금,,명성유료주차장,053-423-9764,35.86735839,128.5993377,2022-06-10,3410000,대구광역시 중구
150-4-000101,명성제2유료주차장,민영,노외,대구광역시 중구 동성로4길 40-6,대구광역시 중구 삼덕동1가 56-9,15,1,미시행,평일+토요일+공휴일,8:00,23:59,8:00,23:59,8:00,23:59,유료,60,1500,60,1500,,,,현금,,명성제2유료주차장,053-255-0525,35.86628402,128.5993249,2022-06-10,3410000,대구광역시 중구
150-4-000102,북성월드카유료주차장,민영,노외,대구광역시 중구 경상감영1길 84,대구광역시 중구 북성로1가 23-1,26,1,미시행,평일+토요일,9:00,18:00,9:00,18:00,0:00,0:00,유료,60,1000,60,1000,,,,현금,,북성월드카유료주차장,053-257-7262,35.874659,128.592781,2022-06-10,3410000,대구광역시 중구
150-4-000103,거북유료주차장,민영,노외,대구광역시 중구 동성로3길 4,대구광역시 중구 삼덕동1가 35-18,37,1,미시행,평일+토요일+공휴일,9:00,23:00,9:00,23:00,9:00,23:00,유료,30,1000,,,,,,현금,1시간 2200원,거북유료주차장,053-425-3411,35.865489,128.5975771,2022-06-10,3410000,대구광역시 중구
150-4-000104,덕영유료주차장,민영,노외,,대구광역시 중구 서내동 46,28,1,미시행,평일+토요일,9:00,20:00,9:00,20:00,0:00,0:00,유료,30,1000,30,1000,,,,현금,,덕영유료주차장,053-424-3348,35.87190775,128.5887418,2022-06-10,3410000,대구광역시 중구
150-4-000105,은성유료주차장,민영,노외,대구광역시 중구 국채보상로 540-1(상서동),대구광역시 중구 상서동 40,50,1,미시행,평일+토요일,7:30,20:30,7:30,20:30,0:00,0:00,유료,30,1000,30,1000,,,,현금,,은성유료주차장,053-253-1157,35.87015601,128.5897705,2022-06-10,3410000,대구광역시 중구
150-4-000106,대지유료주차장,민영,노외,대구광역시 중구 중앙대로79길 59,대구광역시 중구 장관동 40-5,23,1,미시행,평일+토요일,7:30,21:00,7:30,21:00,0:00,0:00,유료,60,1500,60,1500,,,,현금,,대지유료주차장,053-256-2478,35.86877454,128.5903851,2022-06-10,3410000,대구광역시 중구
150-4-000107,서성유료주차장,민영,노외,대구광역시 중구 북성로 24-1,대구광역시 중구 서야동 16-6,30,1,미시행,평일+토요일,7:00,19:00,7:00,19:00,0:00,0:00,유료,30,1000,,,,,,현금,1시간 2000원,서성유료주차장,053-254-4400,35.87450148,128.5931524,2022-06-10,3410000,대구광역시 중구
150-4-000108,동서유료주차장,민영,노외,대구광역시 중구 큰장로 32,대구광역시 중구 대신동 1463,10,1,미시행,평일+토요일,9:00,18:00,9:00,18:00,0:00,0:00,유료,30,2000,,,,,,현금,1시간 3000원,동서유료주차장,053-421-6696,35.86317858,128.5743671,2022-06-10,3410000,대구광역시 중구
150-4-000109,브이유료주차장,민영,노외,,대구광역시 중구 삼덕동1가 50,7,1,미시행,평일+토요일,10:30,0:30,10:30,0:30,0:00,0:00,유료,30,1000,30,1000,,,,현금,,브이유료주차장,053-422-6415,35.86557835,128.5985872,2022-06-10,3410000,대구광역시 중구
289-2-000047,호수공원앞임시공영주차장,공영,노외,충청남도 서산시 읍내2로 7,충청남도 서산시 읍내동 91-8,22,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 서산시청,,36.7779366,126.4502305,2022-08-03,4530000,충청남도 서산시
184-1-000041,산성동제5노상,공영,노상,대전광역시 중구 유등천동로 292번길 89-14,대전광역시 중구 산성동 36-1번지 일원,79,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000042,산성동제6노상,공영,노상,대전광역시 중구 산성로 32,대전광역시 중구 산성동 321번지 일원,31,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000043,산성동잔디1길,공영,노상,대전광역시 중구 보문산로36번길 30,대전광역시 중구 산성동 120-15,17,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000044,산성동제7노상,공영,노상,대전광역시 중구 대둔산로364번길 33-12,대전광역시 중구 산성동 275-1,32,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000045,산성동 제8노상,공영,노상,대전광역시 중구 문화로 45번길,대전광역시 중구 산성동 147-31,37,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000046,산성동 제9노상,공영,노상,대전광역시 중구 대둔산로480번길 8,대전광역시 중구 산성동 145-4,11,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000047,산성동 제10노상,공영,노상,대전광역시 중구 산성로 57번길 16-19,대전광역시 중구 산성동 64-48,6,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000048,석교동제1노상,공영,노상,대전광역시 중구 신기로7번길 10,대전광역시 중구 석교동 84-15,17,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000049,석교동제2노상,공영,노상,대전광역시 중구 대종로 235,대전광역시 중구 석교동 9-1,20,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000050,석교동제3노상,공영,노상,대전광역시 중구 대종로 228,대전광역시 중구 석교동 12-4,44,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000051,선화동제5노상,공영,노상,대전광역시 중구 중앙로 101,대전광역시 중구 선화동 287-2,20,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000052,선화동제6노상,공영,노상,대전광역시 중구 대종로594번길 1,대전광역시 중구 선화동 120-5,30,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000053,선화동제7노상,공영,노상,대전광역시 중구 보문로 341,대전광역시 중구 선화동 151-1,16,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
150-4-000173,목천유료주차장,민영,노외,대구광역시 중구 공평로20길 33(동인동1가),대구광역시 중구 동인동1가 228,30,1,미시행,평일+토요일,8:00,19:00,8:00,19:00,0:00,0:00,유료,30,1000,,,,,,현금,1시간 2000원,목천유료주차장,053-123-4567,35.87173484,128.6027869,2022-06-10,3410000,대구광역시 중구
150-4-000174,현대유료주차장,민영,노외,대구광역시 중구 달성공원로8길 32(시장북로),대구광역시 중구 시장북로 59-2,19,1,미시행,평일+토요일,7:00,17:00,7:00,17:00,0:00,0:00,유료,30,1000,,,,,,현금,1시간 2000원,현대유료주차장,053-568-7452,35.873271,128.5818683,2022-06-10,3410000,대구광역시 중구
150-4-000175,대일유료주차장,민영,노외,,대구광역시 중구 대봉동 654-1,21,1,미시행,평일+토요일,8:00,19:30,8:00,19:30,0:00,0:00,유료,60,1500,60,1500,,,,현금,,대일유료주차장,053-424-8266,35.86183187,128.6080343,2022-06-10,3410000,대구광역시 중구
150-1-000001,달성공원주변노상주차장,공영,노상,대구광역시 중구 달성공원로 35(달성동),대구광역시 중구 달성동 294-1,96,1,미시행,평일+토요일+공휴일,8:00,20:00,8:00,20:00,8:00,20:00,유료,30,1000,10,500,3.5,10000,100000,현금,경차+장애인+국가유공자 할인,대구광역시 중구청,053-661-3173,35.87339884,128.5759201,2022-06-10,3410000,대구광역시 중구
150-1-000002,국민은행남산동지점 주변 노상주차장,공영,노상,대구광역시 중구 중앙대로65길 23(남산동),대구광역시 중구 남산동 614-12,16,1,미시행,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,500,10,250,3.5,5000,50000,현금,경차+장애인+국가유공자 할인,대구광역시 중구청,053-661-3173,35.8620886,128.5914229,2022-06-10,3410000,대구광역시 중구
150-2-000003,남산공영주차장,공영,노외,대구광역시 중구 명덕로35길 44(남산동),대구광역시 중구 남산동 2175-24,61,1,미시행,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,500,10,250,3.5,5000,50000,현금,경차+장애인+국가유공자 할인,대구광역시 중구청,053-661-3173,35.8587307,128.5890952,2022-06-10,3410000,대구광역시 중구
150-4-000148,대광유료주차장,민영,노외,,대구광역시 중구 동인동2가 244-1,15,1,미시행,평일+토요일,9:00,18:00,9:00,18:00,0:00,0:00,유료,30,1000,,,,,,현금,1시간 2500원,대광유료주차장,053-428-7177,35.86743934,128.6059047,2022-06-10,3410000,대구광역시 중구
150-4-000149,대양유료주차장,민영,노외,대구광역시 중구 큰장로24안길 16(대신동),대구광역시 중구 대신동 273-6,14,1,미시행,평일+토요일,9:00,18:00,9:00,18:00,0:00,0:00,유료,30,1000,,,,,,현금,1시간 1500원,대양유료주차장,053-253-6999,35.86686884,128.5787446,2022-06-10,3410000,대구광역시 중구
150-4-000150,라이프유료주차장,민영,노외,대구광역시 중구 태평로 177,대구광역시 중구 태평로1가 1-187,10,1,미시행,평일+토요일,7:00,20:00,7:00,20:00,0:00,0:00,유료,30,1000,,,,,,현금,1시간 2000원,라이프유료주차장,053-123-4567,35.87486539,128.5976478,2022-06-10,3410000,대구광역시 중구
184-2-000040,선화동제1노외,공영,노외,대전광역시 중구 대종로561번길 15,대전광역시 중구 선화동136-11,113,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,혼합,10,300,10,200,5,8700,104000,현금+카드,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-2-000041,대흥동제4노외,공영,노외,대전광역시 중구 보문로260번길 7,대전광역시 중구 대흥동 480,23,2,미시행,평일,8:00,22:00,0:00,0:00,0:00,0:00,혼합,10,300,10,200,5,8700,104000,현금,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-2-000042,중촌동제1노외,공영,노외,대전광역시 중구 목중로16번길 23,대전광역시 중구 중촌동 404-2,32,3,미시행,평일,8:00,22:00,0:00,0:00,0:00,0:00,혼합,10,150,10,150,5,6500,72000,현금,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-2-000043,부사시장공영주차장,공영,노외,대전광역시 중구 보문로48번길 13,대전광역시 중구 부사동 150-1,24,4,미시행,평일+토요일,8:00,22:00,8:00,22:00,0:00,0:00,혼합,10,100,10,100,14,6500,,현금,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-2-000044,부사동제4노외,공영,노외,대전광역시 중구 대종로 315번길 34-17,대전광역시 중구 부사동 133-2,10,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-2-000045,유등천제2하상,공영,노외,대전광역시 중구 뿌리공원로 47,대전광역시 중구 안영동 71-7,272,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000033,부사동사득4길,공영,노상,대전광역시 중구 사득로67번길 23,대전광역시 중구 부사동 364-67,12,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000034,부사동소라티1길,공영,노상,대전광역시 중구 보문로63번길 28,대전광역시 중구 부사동 300-8,9,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000035,사정동제1노상,공영,노상,대전광역시 중구 대둔산로 350번길 6,대전광역시 중구 사정동 439-14,22,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-2-000046,오류동제3노외,공영,노외,대전광역시 중구 보문산공원로497번길 81-7,대전광역시 중구 대사동 197-6,10,3,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000036,사정동제2노상,공영,노상,대전광역시 중구 대둔산로 326번길 23,대전광역시 중구 사정동 431-1,9,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000037,산성동제1노상,공영,노상,대전광역시 중구 당디로 45,대전광역시 중구 산성동 37-1,148,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000038,산성동제2노상,공영,노상,대전광역시 중구 대둔산로466번길 17,대전광역시 중구 산성동 145-40,16,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000039,산성동제3노상,공영,노상,대전광역시 중구 보문산로 31,대전광역시 중구 산성동 78-5,46,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
184-1-000040,산성동제4노상,공영,노상,대전광역시 중구 대둔산로480번길 41,대전광역시 중구 산성동 136-95,19,4,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,대전광역시 중구청,042-606-6866,,,2021-10-26,6300000,대전광역시
166-2-000012,백운남부1차,공영,노외,인천광역시 부평구 백운로 14(부평동) 일원,인천광역시 부평구 십정동 594,55,3,미시행,평일+토요일+공휴일,9:00,19:00,9:00,17:00,9:00,17:00,유료,30,400,15,200,300,0,40000,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.4813005,126.7100474,2022-04-07,3540000,인천광역시 부평구
166-2-000013,평천로 357번길,공영,노외,인천광역시 부평구 평천로357번길 1(갈산동) 인근,인천광역시 부평구 갈산동 39-2,10,4,미시행,평일+토요일+공휴일,9:00,19:00,9:00,17:00,9:00,17:00,유료,0,0,0,0,0,0,30000,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.51805671,126.7301512,2022-04-07,3540000,인천광역시 부평구
166-2-000014,삼산4차,공영,노외,인천광역시 부평구 영성로 76-7(삼산동) 일원,인천광역시 부평구 삼산동 394-9,17,3,미시행,평일+토요일,9:00,19:00,9:00,17:00,0:00,0:00,유료,30,400,15,200,300,4000,40000,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.52041611,126.7475145,2022-04-07,3540000,인천광역시 부평구
166-2-000015,삼산1차,공영,노외,인천광역시 부평구 영성서로 35-10(삼산동) 일원,인천광역시 부평구 삼산동 388-14,17,2,미시행,평일+토요일,9:00,19:00,9:00,17:00,0:00,0:00,유료,30,600,15,300,300,6000,60000,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.52120873,126.7423857,2022-04-07,3540000,인천광역시 부평구
166-2-000016,삼산2차,공영,노외,인천광역시 부평구 영성서로 38(삼산동) 인근,인천광역시 부평구 삼산동 389-6,33,2,미시행,평일+토요일,9:00,19:00,9:00,17:00,0:00,0:00,유료,30,600,15,300,300,6000,60000,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.5214603,126.7429895,2022-04-07,3540000,인천광역시 부평구
166-2-000017,삼산3차,공영,노외,인천광역시 부평구 부평북로 451(삼산동) 일원,인천광역시 부평구 삼산동 390-4,30,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,17:00,9:00,17:00,유료,0,0,0,0,0,0,60000,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.52222101,126.7438181,2022-04-07,3540000,인천광역시 부평구
166-1-000003,부흥로터리,공영,노상,인천광역시 부평구 장제로 138(부평동) 일원,인천광역시 부평구 부평동 132-5,156,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,15,300,0,0,0,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49709063,126.7310841,2022-04-07,3540000,인천광역시 부평구
166-1-000004,주부토로,공영,노상,인천광역시 부평구 주부토로 30(부평동) 일원,인천광역시 부평구 부평동 372-16,21,2,미시행,평일+토요일,9:00,18:00,9:00,17:00,0:00,0:00,유료,30,600,15,300,0,0,0,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49751676,126.7251437,2022-04-07,3540000,인천광역시 부평구
166-1-000005,대정로,공영,노상,인천광역시 부평구 대정로 43(부평동) 일원,인천광역시 부평구 부평동 370-47,11,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,15,300,0,0,0,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.4955086,126.725712,2022-04-07,3540000,인천광역시 부평구
166-1-000006,세월천로,공영,노상,인천광역시 부평구 세월천로 1(청천동) 일원,인천광역시 부평구 청천동 116,108,2,미시행,평일+토요일,9:00,18:00,9:00,17:00,0:00,0:00,유료,30,600,15,300,0,0,0,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.5124549,126.7092729,2022-04-07,3540000,인천광역시 부평구
166-1-000007,부평시장로터리,공영,노상,인천광역시 부평구 시장로 45 (부평동) 일원,인천광역시 부평구 부평동 229-59,33,2,미시행,평일+토요일,9:00,18:00,9:00,17:00,0:00,0:00,유료,30,600,15,300,0,0,0,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49473428,126.7266282,2022-04-07,3540000,인천광역시 부평구
166-1-000008,시장로,공영,노상,인천광역시 부평구 시장로 67(부평동) 일원,인천광역시 부평구 부평동 222-2,16,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,15,300,0,0,0,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49642821,126.7282033,2022-04-07,3540000,인천광역시 부평구
166-2-000001,청천화물,공영,노외,인천광역시 부평구 평천로 266(청천동) 일원,인천광역시 부평구 청천동 113,105,3,미시행,평일+토요일+공휴일,9:00,19:00,9:00,17:00,9:00,17:00,유료,30,300,15,150,300,3000,30000,카드,,인천광역시 부평구시설관리공단,032-262-9220,37.51639667,126.7199201,2022-04-07,3540000,인천광역시 부평구
